model,raw_model,input_mode,source_video,task_family,premise,condition,target_score,baseline_score,target_minus_baseline,target_response,baseline_response
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,0,50,-50,0,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,75,50,25,75,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,50,70,-20,50,70
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,20,25,-5,20,25
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,20,60,-40,20,60
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,0,100,-100,0,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,100,0,100,100,0
