raw_model,input_mode,inference_group,condition,human_condition,human_environment,effect_type,target_premise_mean_delta,control_premise_mean_delta,model_effect,human_effect,absolute_error
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,45.000,,45.000,46.101,1.101
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,12.500,,12.500,51.091,38.591
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,-30.000,,-30.000,26.798,56.798
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-8.333,18.333,-26.667,50.694,77.360
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,33.333,-26.667,60.000,139.582,79.582
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,12.500,22.500,9.025,13.475
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,0.000,,0.000,46.101,46.101
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,12.500,,12.500,26.283,13.783
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,65.000,,65.000,51.091,13.909
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,-17.500,,-17.500,26.798,44.298
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-23.333,-8.333,-15.000,50.694,65.694
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-8.333,-15.000,6.667,139.582,132.916
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,35.000,0.000,9.025,9.025
