raw_model,input_mode,inference_group,condition,premise,statement_type,model_endorsement,human_endorsement,n_model_videos
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,target,66.667,82.596,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,baseline,33.333,17.805,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,baseline,78.333,90.636,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,baseline,58.333,36.643,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,baseline,50.000,57.488,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,TargetPremise,baseline,80.000,37.641,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,TargetPremise,target,75.000,73.556,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,TargetPremise,baseline,62.500,22.465,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,target,67.500,80.197,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,target,62.500,76.687,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,target,82.500,71.515,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,target,50.000,82.596,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,baseline,58.333,17.805,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,baseline,63.333,90.636,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,baseline,50.000,36.643,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,baseline,50.000,57.488,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,TargetPremise,baseline,62.500,37.641,2
