model,raw_model,input_mode,source_video,task_family,premise,condition,statement_type,statement,score,response,error,result_file,line_number
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,0,0,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,75,75,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_video_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,50,50,,results\qwen__qwen2.5-vl-7b-instruct_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_text_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,20,20,,results\qwen__qwen2.5-vl-7b-instruct_pure_video_sequence_ratings.jsonl,1
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,0,0,,results\google__gemma-4-12b-it_sequence_ratings.jsonl,1
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,100,100,,results\google__gemma-4-12b-it_pure_text_sequence_ratings.jsonl,1
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,100,100,,results\google__gemma-4-12b-it_pure_video_sequence_ratings.jsonl,1
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_sequence_ratings.jsonl,2
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_text_sequence_ratings.jsonl,2
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",50,50,,results\qwen__qwen2.5-vl-32b-instruct_pure_video_sequence_ratings.jsonl,2
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_sequence_ratings.jsonl,2
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",50,50,,results\qwen__qwen2.5-vl-3b-instruct_pure_text_sequence_ratings.jsonl,2
