raw_model,input_mode,n_conditions,mean_absolute_error
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,7,41.884
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,7,46.532
Qwen/Qwen2.5-VL-32B-Instruct,split,7,34.820
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,7,38.153
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,7,51.368
Qwen/Qwen2.5-VL-3B-Instruct,split,7,30.168
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,7,31.016
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,7,42.051
Qwen/Qwen2.5-VL-7B-Instruct,split,7,24.990
google/gemma-4-12B-it,pure-text,7,48.996
google/gemma-4-12B-it,pure-video,7,32.630
google/gemma-4-12B-it,split,7,52.868
