model,n_records,n_numeric,n_errors,mean_score,mean_target_score,mean_baseline_score,mean_target_minus_baseline
Qwen/Qwen2.5-VL-32B-Instruct,48,48,0,66.979,71.667,62.292,9.375
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],48,48,0,56.875,61.042,52.708,8.333
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],48,48,0,56.146,58.125,54.167,3.958
Qwen/Qwen2.5-VL-3B-Instruct,48,48,0,70.938,72.708,69.167,3.542
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],48,48,0,65.312,65.833,64.792,1.042
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],48,48,0,52.708,50.625,54.792,-4.167
Qwen/Qwen2.5-VL-7B-Instruct,48,48,0,50.729,61.667,39.792,21.875
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],48,48,0,42.292,54.583,30.000,24.583
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],48,48,0,57.812,50.833,64.792,-13.958
google/gemma-4-12B-it,48,48,0,84.396,72.917,95.875,-22.958
google/gemma-4-12B-it [pure-text],48,48,0,60.479,66.708,54.250,12.458
google/gemma-4-12B-it [pure-video],48,48,0,77.146,69.000,85.292,-16.292
