raw_model,input_mode,inference_group,condition,human_condition,human_environment,effect_type,target_premise_mean_delta,control_premise_mean_delta,model_effect,human_effect,absolute_error
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,32.500,,32.500,46.101,13.601
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,0.000,,0.000,26.283,26.283
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,12.500,,12.500,51.091,38.591
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,-30.000,,-30.000,26.798,56.798
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,-8.333,0.000,-8.333,50.694,59.027
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,33.333,-28.333,61.667,139.582,77.916
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,17.500,12.500,5.000,9.025,4.025
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Negative,Homogeneity,Negative,target_delta,0.000,,0.000,46.101,46.101
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Positive,Homogeneity,Positive,target_delta,12.500,,12.500,26.283,13.783
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,None,Presupposition,None,target_delta,57.500,,57.500,51.091,6.409
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,Presupposition,Question,target_delta,-12.500,,-12.500,26.798,39.298
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,0.000,0.000,0.000,50.694,50.694
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,-8.333,-13.333,5.000,139.582,134.582
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,32.500,32.500,0.000,9.025,9.025
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Negative,Homogeneity,Negative,target_delta,25.000,,25.000,46.101,21.101
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Positive,Homogeneity,Positive,target_delta,-37.500,,-37.500,26.283,63.783
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,None,Presupposition,None,target_delta,25.000,,25.000,51.091,26.091
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,Question,Presupposition,Question,target_delta,-30.000,,-30.000,26.798,56.798
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,16.667,-25.000,41.667,50.694,9.027
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,58.333,-38.333,96.667,139.582,42.916
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,25.000,40.000,-15.000,9.025,24.025
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Negative,Homogeneity,Negative,target_delta,10.000,,10.000,46.101,36.101
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Positive,Homogeneity,Positive,target_delta,-12.500,,-12.500,26.283,38.783
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,None,Presupposition,None,target_delta,5.000,,5.000,51.091,46.091
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,Question,Presupposition,Question,target_delta,-12.500,,-12.500,26.798,39.298
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,Scalar Implicature,Negative,target_minus_control_delta,0.000,-11.667,11.667,50.694,39.027
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,Scalar Implicature,Positive,target_minus_control_delta,16.667,-11.667,28.333,139.582,111.249
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,Supplement,Unembedded,target_minus_control_delta,35.000,35.000,0.000,9.025,9.025
