model,n_records,n_numeric,n_errors,mean_score,mean_target_score,mean_baseline_score,mean_target_minus_baseline
Qwen/Qwen2.5-VL-32B-Instruct,48,48,0,60.000,62.708,57.292,5.417
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],48,48,0,57.708,59.375,56.042,3.333
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],48,48,0,55.417,59.167,51.667,7.500
Qwen/Qwen2.5-VL-3B-Instruct,48,48,0,61.875,63.125,60.625,2.500
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],48,48,0,58.542,60.625,56.458,4.167
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],48,48,0,50.000,50.000,50.000,0.000
Qwen/Qwen2.5-VL-7B-Instruct,48,48,0,51.042,64.583,37.500,27.083
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],48,48,0,36.146,49.375,22.917,26.458
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],48,48,0,57.812,54.375,61.250,-6.875
google/gemma-4-12B-it,48,48,0,58.333,58.333,58.333,0.000
google/gemma-4-12B-it [pure-text],48,48,0,58.333,66.667,50.000,16.667
google/gemma-4-12B-it [pure-video],48,48,0,58.125,58.750,57.500,1.250
